arquivo;elemento;posicao;bitola;qtd;comp_m;peso_kg;obs
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.085;0.367;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.085;0.066;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;28;28.000;120.838;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;14;Ø12.5;8;0.407;3.137;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;0.125;0.539;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;20;24.000;73.983;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;24;24.000;88.779;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;5;24.000;18.496;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;15;Ø12.5;6;0.297;1.717;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;20;0.077;0.237;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;16;Ø12.5;2;0.357;0.688;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;17;Ø12.5;2;0.094;0.181;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;18;Ø12.5;4;0.407;1.568;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;24;0.145;0.536;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;19;Ø12.5;6;0.120;0.694;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;5;0.145;0.112;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;20;24.000;73.983;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;24;24.000;88.779;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;4;24.000;14.797;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;15;Ø12.5;6;0.297;1.717;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;20;0.077;0.237;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;16;Ø12.5;2;0.357;0.688;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;17;Ø12.5;2;0.094;0.181;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;18;Ø12.5;4;0.407;1.568;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø5;24;0.117;0.433;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;20;Ø12.5;6;0.100;0.578;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø5;4;0.117;0.072;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø5;5;23.000;17.725;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø10;6;0.327;1.210;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;13;Ø10;6;0.368;1.361;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;6;0.092;0.340;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø5;5;0.095;0.073;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;5;23.000;17.725;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø10;6;0.327;1.210;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø10;6;0.368;1.361;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;6;0.092;0.340;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.095;0.073;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;22;26.000;88.163;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;22;26.000;88.163;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;4;26.000;16.030;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;13;Ø12.5;6;0.327;1.890;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;22;0.101;0.342;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;14;Ø12.5;6;0.377;2.179;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;22;0.101;0.342;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;15;Ø12.5;6;0.100;0.578;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;4;0.101;0.062;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;16;Ø12.5;8;0.357;2.751;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;24;0.077;0.285;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;14;Ø12.5;8;0.377;2.905;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;22;0.077;0.261;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;15;Ø12.5;8;0.100;0.771;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;4;0.077;0.047;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;5;23.000;17.725;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø10;8;0.327;1.613;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø10;8;0.368;1.815;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;8;0.092;0.454;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.095;0.073;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;40;28.000;172.626;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;28;28.000;120.838;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;5;28.000;21.578;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø10;6;0.477;1.764;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;40;0.125;0.771;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø10;6;0.368;1.361;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;28;0.125;0.539;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;6;0.097;0.359;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;5;0.125;0.096;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø10;6;0.327;1.210;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.101;0.436;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø10;6;0.368;1.361;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.101;0.436;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;6;0.092;0.340;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;5;0.101;0.078;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;28;24.000;103.576;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;28;24.000;103.576;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;5;24.000;18.496;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø10;6;0.327;1.210;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;0.117;0.505;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø10;6;0.368;1.361;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;0.117;0.505;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;6;0.092;0.340;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;5;0.117;0.090;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;28;23.000;99.260;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;7;23.000;24.815;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø10;8;0.327;1.613;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø10;8;0.368;1.815;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;28;0.095;0.410;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø10;8;0.117;0.577;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;7;0.095;0.102;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø10;4;0.368;0.908;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;5;0.075;0.058;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;4;0.349;0.861;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;30;0.081;0.375;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø10;4;0.368;0.908;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;28;0.081;0.350;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;4;0.092;0.227;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;5;0.081;0.062;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;24.000;103.576;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;28;24.000;103.576;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;6;24.000;22.195;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;8;0.327;1.613;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.157;0.678;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø10;8;0.368;1.815;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.157;0.678;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;28;0.091;0.393;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;12;0.107;0.792;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;6;0.157;0.145;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;6;0.091;0.084;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;44;26.000;176.326;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;8;26.000;32.059;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;15;Ø12.5;8;0.349;2.690;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;24;0.091;0.337;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;16;Ø12.5;8;0.377;2.905;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;22;0.091;0.309;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;17;Ø12.5;8;0.100;0.771;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;4;0.091;0.056;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;28;0.077;0.332;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;6;Ø5;28;0.075;0.324;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;38;24.000;140.567;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;13;Ø10;10;0.450;2.774;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;7;Ø5;38;0.097;0.568;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø5;40;23.000;141.800;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;14;Ø10;6;0.477;1.764;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø5;40;0.095;0.586;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø10;4;0.327;0.806;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;28;0.067;0.289;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø10;4;0.349;0.861;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;30;0.073;0.338;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;4;0.495;0.305;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;2;0.163;0.050;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;2;Ø5;4;0.195;0.120;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø8;2;0.176;0.139;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;12;Ø10;4;0.177;0.436;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø8;4;0.134;0.211;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;3;Ø5;3;0.345;0.160;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;1;Ø5;6;0.163;0.151;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø8;6;0.176;0.417;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;8;Ø8;6;0.176;0.417;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;14;Ø10;4;0.000;0.000;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;9;Ø8;6;0.134;0.317;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;10;Ø8;2;0.251;0.198;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;13;Ø10;4;0.277;0.683;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;11;Ø8;4;0.209;0.330;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;4;Ø5;4;0.495;0.305;
ENV P 1 COTACAO BLOCO ARRAQUE E PILARES - Copia.dwg;;5;Ø5;8;0.203;0.250;
